ID;Nome;Cognome;Data_Nascita;Email;Sport;Abbonamento;Scadenza_Certificato;Ultimo_Accesso;Scadenza_Abbonamento;Ban
1;;Moretti;1988-09-25;riccardo.moretti93@outlook.it;piscina;Mensile;2028-09-30;2025-10-13;2028-11-03;NO
10;Alessandro;Verdi;1976-01-26;alessandro.verdi64@outlook.it;piscina;Annuale;2026-06-16;2025-08-09;2028-02-05;NO
11;Alessandro;Russo;1948-09-23;alessandro.russo63@icloud.com;piscina;Semestrale;2028-09-06;2025-06-17;2026-03-23;NO
12;Alice;Ricci;1948-04-28;alice.ricci3@icloud.com;piscina;Annuale;2028-02-16;2025-04-16;2026-01-04;NO
13;Matteo;Piccoli;2000-04-07;matteo.piccoli79@icloud.com;piscina;Annuale;2026-03-02;2026-01-04;2026-05-28;NO
14;Alessandro;Russo;2007-12-11;alessandro.russo80@icloud.com;piscina;Trimestrale;2026-07-30;2025-07-16;2025-11-05;NO
15;Simone;Ricci;2010-08-27;simone.ricci52@gmail.com;piscina;Trimestrale;2027-01-13;2025-05-29;2028-05-05;NO
16;Valentina;Conti;1953-08-23;valentina.conti57@icloud.com;piscina;Semestrale;2028-08-12;2025-07-27;2027-06-18;NO
17;Sara;Zappa;2011-08-04;sara.zappa42@yahoo.com;piscina;Annuale;2026-11-10;2025-07-21;2028-01-30;NO
18;Matteo;Conti;1967-05-15;matteo.conti93@outlook.it;piscina;Annuale;2028-01-23;2025-05-08;2027-04-03;NO
19;Alice;Marino;1975-04-18;alice.marino59@icloud.com;piscina;Semestrale;2028-09-07;2025-05-20;2027-04-01;NO
21;Elena;Piccoli;1994-11-10;elena.piccoli8@yahoo.com;piscina;Mensile;2028-10-15;2025-12-18;2026-10-31;NO
31;Matteo;Colombo;1975-07-08;matteo.colombo59@yahoo.com;piscina;Annuale;2026-03-27;2025-04-07;2028-08-13;NO
41;Cristiano;Piccoli;2000-07-08;cristiano.piccoli83@gmail.com;piscina;Trimestrale;2028-01-11;2025-02-07;2025-11-24;NO
51;Cristiano;Moretti;2011-08-03;cristiano.moretti61@gmail.com;piscina;Mensile;2026-08-11;2025-08-03;2028-03-17;NO
61;Sara;Conti;1993-09-21;sara.conti95@icloud.com;piscina;Mensile;2028-12-02;2025-05-18;2025-10-26;NO
71;Chiara;Rossi;1950-08-11;chiara.rossi2@outlook.it;piscina;Mensile;2027-10-13;2025-02-11;2025-02-24;NO
81;Valentina;Romano;1990-11-10;valentina.romano75@outlook.it;piscina;Annuale;2028-07-26;2026-01-13;2028-03-09;NO
91;Sara;Gallo;1997-11-02;sara.gallo27@outlook.it;piscina;Mensile;2027-12-23;2025-08-12;2025-06-26;NO
100;Alessandro;Conti;2014-01-29;alessandro.conti46@icloud.com;piscina;Trimestrale;2026-04-03;2026-01-21;2025-07-24;NO
101;Alessandro;Ferrari;1967-12-12;alessandro.ferrari15@gmail.com;piscina;Mensile;2026-09-14;2025-11-02;2025-11-06;NO
102;Matteo;Moretti;1999-05-06;matteo.moretti59@yahoo.com;piscina;Annuale;2028-01-16;2025-02-26;2025-08-22;NO
103;Simone;Zappa;1952-12-15;simone.zappa84@icloud.com;piscina;Mensile;2028-06-22;2026-01-25;2026-12-31;NO
104;Giulia;Zappa;2010-07-09;giulia.zappa19@yahoo.com;piscina;Semestrale;2027-02-01;2025-05-14;2027-07-31;NO
105;Elena;Conti;2004-02-09;elena.conti23@icloud.com;piscina;Annuale;2028-05-16;2025-08-05;2027-05-31;NO
106;Riccardo;Zappa;1955-12-09;riccardo.zappa49@yahoo.com;piscina;Semestrale;2028-07-23;2025-03-25;2026-05-16;NO
107;Valentina;Zappa;2010-04-16;valentina.zappa94@icloud.com;piscina;Trimestrale;2026-12-12;2025-07-24;2027-09-30;NO
108;Marco;Ricci;1974-12-29;marco.ricci62@yahoo.com;piscina;Semestrale;2028-08-05;2025-11-01;2028-03-28;NO
109;Riccardo;Bianchi;1985-02-13;riccardo.bianchi13@outlook.it;piscina;Annuale;2028-04-02;2025-05-10;2026-02-16;NO
110;Alice;Colombo;1987-06-30;alice.colombo65@outlook.it;piscina;Trimestrale;2027-01-29;2025-01-15;2025-04-17;NO
111;Riccardo;Bianchi;1946-07-14;riccardo.bianchi95@icloud.com;piscina;Mensile;2026-08-22;2025-12-05;2025-05-21;NO
112;Alice;Rossi;1972-12-07;alice.rossi18@icloud.com;piscina;Annuale;2028-03-29;2025-10-16;2025-07-13;NO
113;Simone;Ferrari;1988-01-13;simone.ferrari42@outlook.it;piscina;Semestrale;2027-10-30;2025-02-25;2028-03-13;NO
114;Chiara;Gallo;1993-01-29;chiara.gallo13@icloud.com;piscina;Semestrale;2027-02-15;2025-11-03;2027-04-15;NO
115;Marco;Romano;1957-09-28;marco.romano45@icloud.com;piscina;Semestrale;2026-06-20;2026-01-13;2028-06-17;NO
116;Alice;Verdi;1977-02-24;alice.verdi87@outlook.it;piscina;Annuale;2027-04-05;2025-09-08;2027-08-12;NO
117;Cristiano;Moretti;1968-03-30;cristiano.moretti73@yahoo.com;piscina;Trimestrale;2027-01-17;2025-06-19;2028-09-25;NO
118;Chiara;Ricci;2015-12-28;chiara.ricci81@gmail.com;piscina;Semestrale;2028-03-02;2025-01-01;2026-12-27;NO
119;Marco;Gallo;1976-04-20;marco.gallo52@yahoo.com;piscina;Annuale;2028-06-10;2025-04-07;2026-12-24;NO
120;Giulia;Bianchi;2010-12-18;giulia.bianchi69@outlook.it;piscina;Trimestrale;2026-07-08;2025-12-11;2026-03-29;NO
